Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
360	-50.88245	-95.36284	44.48038	0.0470235	0.0234312	0.0223159	0.000438454	0.0382124	0.00241309	0.0292701	0.00254532	0.0247153	0.0114288	0.0564463	0.0211958	0.0418643	0.0212359	0.00171375	0.0108867	0.0434025	0.00773179	0.00119163	0.0523727	0.0646515	0.00772401	0.000143607	0.00487178	0.0940758	0.0649186	0.00196026	0.00390363	0.0563857	0.0422236	0.0333603	0.0446881	0.0215987	0.0938573	0.0235739	0.783348	0.887731	0.963529	1.03785	1.12647	1.27657	0.1765578	0.0462024	0.0230221	0.0219262	0.000430797	0.0375452	0.00237095	0.028759	0.00250088	0.0242837	0.0112292	0.0554606	0.0208257	0.0411333	0.0208651	0.00168382	0.0106966	0.0426446	0.00759677	0.00117082	0.0514581	0.0635225	0.00758913	0.000141099	0.00478671	0.092433	0.063785	0.00192603	0.00383546	0.0554011	0.0414863	0.0327778	0.0439078	0.0212216	0.0922184	0.0231623	0.901743	0.0982573	0.9017427	1.017772
396	-51.53597	-96.09615	44.56018	0.0165533	0.0293206	0.00256373	0.000528831	0.00437027	0.00705269	0.0307997	0.00553199	0.0107937	0.0121067	0.00468679	0.000518158	0.0143408	0.0184084	0.00441079	0.000167293	0.0126072	0.017079	0.0102271	0.0295464	0.00804726	0.00767532	0.00328805	0.0867208	0.00869171	0.00462851	0.0263369	0.0013916	0.0408953	0.00621903	0.0420509	0.0168017	0.037612	0.0766312	0.00578637	0.573222	0.762313	0.918814	1.08836	1.3118	1.74452	0.4023749	0.0273885	0.0485126	0.00424184	0.000874982	0.00723087	0.0116691	0.05096	0.00915301	0.0178588	0.0200313	0.00775457	0.000857324	0.0237278	0.0304579	0.00729791	0.000276797	0.0208594	0.0282582	0.0169214	0.0488862	0.0133147	0.0126993	0.00544027	0.143485	0.014381	0.00765816	0.0435759	0.00230248	0.0676638	0.0102898	0.0695758	0.0277994	0.0622314	0.126791	0.00957389	0.930941	0.0690589	0.9309411	0.6043902
432	-52.96984	-97.17848	44.20864	0.000728649	0.00875001	0.00262365	0.0707454	0.0550712	0.0111518	0.000222229	0.0177869	0.0467472	0.02444	0.0109969	0.00192682	0.0121226	0.142457	0.00641707	0.000503144	0.0041729	0.0154609	0.0818344	0.0345355	0.0309985	0.0886944	0.00503056	0.0112735	0.0343169	0.0900839	0.0335901	0.000790102	0.0270933	0.0470834	0.0125708	0.00921045	0.0178061	0.129724	0.00151156	0.596113	0.777011	0.924305	1.08189	1.28698	1.67753	0.3740611	0.000669424	0.00803881	0.0024104	0.0649952	0.0505949	0.0102453	0.000204166	0.0163412	0.0429475	0.0224535	0.0101031	0.00177021	0.0111372	0.130878	0.00589548	0.000462248	0.00383372	0.0142042	0.0751828	0.0317284	0.0284789	0.0814853	0.00462167	0.0103572	0.0315276	0.0827618	0.0308599	0.000725882	0.0248911	0.0432565	0.0115491	0.00846182	0.0163588	0.11918	0.0013887	0.83745	0.16255	0.8374504	1.088472
468	-59.01332	-102.9717	43.95837	0.000663393	0.0230698	0.00732617	0.00196042	0.0106608	0.0152503	0.00174722	0.000680489	0.0100229	0.0285668	0.0200375	0.000538515	0.0148024	0.0646009	0.000996097	0.00856935	0.00990589	0.00172429	0.00125036	0.00641418	0.0195373	0.0236815	0.00156399	0.0234356	0.0113817	0.0139369	0.00925809	0.000509668	0.0183229	0.00374101	0.0496373	0.0249591	0.0386897	0.0191494	0.056724	0.244049	0.502656	0.806867	1.23936	1.98943	4.09754	1.019807	0.00122101	0.0424612	0.0134842	0.00360825	0.0196217	0.0280689	0.00321584	0.00125247	0.0184476	0.0525786	0.03688	0.000991163	0.0272445	0.118901	0.00183337	0.0157723	0.0182323	0.00317364	0.00230135	0.0118056	0.0359593	0.043587	0.00287861	0.0431344	0.0209486	0.0256515	0.01704	0.000938069	0.0337241	0.00688551	0.0913598	0.0459384	0.0712104	0.0352454	0.104403	0.911549	0.0884515	0.9115485	0.543316
504	-49.77335	-94.64412	44.87077	0.00321715	0.0111865	0.00772196	0.00598094	0.0101246	0.0223934	0.00843555	0.0197966	0.00444969	0.0201162	0.0133009	0.00366535	0.00515251	0.0697052	0.0239197	0.00583912	0.0082783	0.00922257	0.0242833	0.0648449	0.0279952	0.00602765	0.0415046	0.0238118	0.00155357	0.00389874	0.00984262	0.00891121	0.0199222	0.0153675	0.0171271	0.00979921	0.000957212	0.0272575	0.00215872	0.86513	0.931782	0.978198	1.02229	1.07321	1.1559	0.1047547	0.00576788	0.0200558	0.0138444	0.010723	0.0181519	0.0401481	0.0151237	0.0354924	0.00797766	0.0360655	0.0238466	0.00657145	0.0092377	0.124971	0.0428845	0.0104687	0.0148418	0.0165347	0.0435365	0.116258	0.0501913	0.0108067	0.0744118	0.0426911	0.00278533	0.00698988	0.0176464	0.0159765	0.0357176	0.0275517	0.0307065	0.0175686	0.00171614	0.0488687	0.00387027	0.946243	0.0537565	0.9462435	0.5577692
540	-52.83357	-97.01672	44.18315	0.0055941	0.00447742	0.00249263	0.00787421	0.00831846	0.0227981	0.0112954	0.00228953	0.00756929	0.0219148	0.00249291	0.0042378	0.00984522	0.0101269	0.00161174	0.00436302	0.0164246	0.00197064	0.0207081	0.00628917	0.0111224	0.0204838	0.0121405	0.00169068	0.0124392	0.00626376	0.014626	0.0142026	0.000875957	0.0171774	0.00953745	0.0126887	0.00690209	0.0246101	0.000632369	0.363819	0.610721	0.857407	1.16631	1.63741	2.74862	0.7310934	0.0165463	0.0132434	0.00737275	0.0232905	0.0246045	0.0674326	0.0334098	0.00677202	0.0223886	0.0648201	0.00737356	0.0125347	0.0291204	0.0299536	0.00476723	0.012905	0.048581	0.0058288	0.0612507	0.0186022	0.032898	0.0605873	0.0359095	0.00500072	0.0367928	0.018527	0.0432612	0.0420086	0.00259092	0.0508076	0.02821	0.037531	0.0204151	0.0727921	0.00187043	0.926733	0.073267	0.926733	0.3380871
576	-58.59165	-101.8385	43.24683	0.000742961	3.85681e-05	0.00295034	0.00389079	0.00180141	0.00562106	0.00981641	0.0021399	0.00171227	0.0009777	0.0130853	0.0108796	0.00650463	0.017686	0.000918957	0.00222409	0.0137816	0.00588072	0.0106698	0.0614859	0.00126241	0.000319456	0.0134175	0.00555874	0.0159938	0.00134794	0.00807768	0.00590401	0.00551352	0.00376748	0.00201252	0.0140984	0.00897233	0.0055116	0.00840974	0.111887	0.343627	0.716585	1.39551	2.91013	8.93758	1.583712	0.00272172	0.000141288	0.0108081	0.0142533	0.00659916	0.0205918	0.0359608	0.00783919	0.00627261	0.00358164	0.047936	0.0398557	0.0238287	0.0647899	0.00336645	0.0081476	0.0504865	0.0215431	0.0390869	0.225244	0.00462463	0.00117027	0.0491529	0.0203636	0.0585907	0.00493797	0.0295913	0.0216284	0.0201979	0.0138016	0.00737253	0.0516471	0.0328687	0.0201908	0.0308077	0.944404	0.0555955	0.9444045	0.2729751
612	-52.87806	-97.25681	44.37875	0.00233603	0.0103702	0.0263245	0.0177167	0.0169777	0.0159828	0.00648766	0.00660015	0.00202616	0.0286691	0.00751901	0.00278492	0.00796028	0.00460995	0.00406338	0.00104584	0.00293102	0.0237366	0.0200282	0.00841385	0.0322587	0.0208809	0.00121754	0.00678688	0.0127249	0.0418591	0.0148259	0.0168871	0.00586678	0.00676883	0.0177111	0.000311493	0.0102723	0.000428816	0.00122311	0.446516	0.674877	0.884548	1.13052	1.48175	2.23956	0.5829963	0.00574518	0.0255041	0.0647419	0.0435721	0.0417544	0.0393076	0.0159556	0.0162322	0.00498309	0.0705079	0.0184921	0.00684916	0.0195773	0.0113376	0.00999338	0.00257211	0.00720847	0.0583773	0.0492568	0.0206928	0.0793363	0.051354	0.00299439	0.0166915	0.0312954	0.102947	0.0364625	0.0415316	0.0144286	0.0166471	0.0435582	0.000766077	0.0252634	0.00105462	0.00300809	0.906162	0.0938377	0.9061623	0.4066076
648	-56.64821	-101.0634	44.41516	0.049337	0.0227377	0.0358625	0.0225799	0.0460861	0.00982515	0.0127792	0.012189	0.021889	0.0159898	0.0264119	0.0152437	0.00729758	0.0645753	0.0164154	0.00470856	0.0195371	0.0237624	0.00114484	0.0287973	0.0217445	0.0621936	0.00602487	0.0724793	0.00419002	0.0011844	0.0011356	0.000132332	0.0293312	0.00389642	0.000526333	0.0107401	0.00324154	0.0275817	0.0442484	0.518589	0.72597	0.904918	1.10507	1.37747	1.92831	0.4747982	0.0661514	0.0304868	0.0480847	0.0302753	0.0617926	0.0131736	0.0171344	0.0163431	0.0293489	0.0214393	0.0354132	0.0204388	0.00978464	0.086583	0.0220098	0.00631326	0.0261954	0.0318607	0.001535	0.0386116	0.0291552	0.0833895	0.00807819	0.0971808	0.005618	0.00158805	0.00152262	0.000177432	0.0393275	0.00522434	0.00070571	0.0144004	0.00434627	0.0369817	0.0593286	0.89452	0.10548	0.8945197	0.7458198
684	-56.30266	-100.7764	44.47371	0.0285561	0.0139722	0.0489891	0.0431425	0.0485367	0.01962	0.0481657	0.0059461	0.0136392	0.00623489	0.00849484	0.0204504	0.00332946	0.0389964	0.0218206	0.00840367	0.00335137	0.00979709	0.0192179	0.0687458	0.00262496	0.0193365	0.0157696	0.0471874	0.00136837	0.0017144	0.0102714	2.35507e-06	0.0412812	0.00753558	0.0228619	0.0146971	0.0169679	0.0671747	0.026194	0.577745	0.765241	0.919914	1.08706	1.30678	1.73087	0.396692	0.0368752	0.0180427	0.063261	0.055711	0.0626768	0.0253358	0.0621977	0.00767835	0.0176126	0.00805129	0.0109696	0.0264082	0.00429943	0.0503571	0.0281775	0.0108519	0.00432772	0.0126512	0.0248166	0.0887733	0.00338968	0.0249698	0.0203636	0.0609344	0.00176701	0.00221385	0.0132637	3.04117e-06	0.0533075	0.00973089	0.0295221	0.0189788	0.0219112	0.0867445	0.033825	0.775079	0.224921	0.7750787	0.7743973
