Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
0	-46.67967	-91.19356	44.51389	0.2759481	0.956414	0.0435857	0.8767512
6	-51.05212	-95.67727	44.62516	0.0982596	0.669046	0.330954	0.9501708
12	-49.89381	-94.15009	44.25628	0.672607	0.940194	0.0598059	0.6806022
18	-50.92015	-95.46469	44.54454	0.436448	0.866989	0.133011	0.4811359
24	-47.12537	-91.67412	44.54876	0.425779	0.795239	0.204761	0.4424303
30	-54.7433	-98.3953	43.652	1.32841	0.739547	0.260453	0.5260457
36	-50.105	-94.56898	44.46398	0.5165095	0.9321	0.0679005	0.5252721
42	-53.33626	-97.95977	44.62351	0.3493569	0.988608	0.0113918	0.4363744
48	-51.90342	-96.41684	44.51343	0.4682973	0.894613	0.105387	0.5002189
54	-53.73875	-98.38937	44.65062	0.311203	0.794313	0.205687	0.4067744
60	-53.91611	-98.33064	44.41453	0.5668945	0.904714	0.0952858	0.4879766
66	-56.65212	-101.3321	44.67999	0.2903941	0.853558	0.146442	0.5791375
72	-63.25238	-107.0317	43.77929	1.171378	0.613117	0.386883	0.6351644
78	-59.61972	-103.2878	43.66804	1.171378	0.849487	0.150513	0.8161397
84	-44.59809	-88.94443	44.34634	0.629927	0.926621	0.0733785	0.4495817
90	-48.30856	-92.63912	44.33057	0.629927	0.92874	0.0712596	0.4039214
96	-51.12565	-95.5057	44.38005	0.5388605	0.943078	0.0569224	0.343073
102	-44.18296	-88.99072	44.80776	0.08399786	0.992798	0.00720154	0.3167753
108	-45.34211	-89.87676	44.53465	0.2887261	0.872898	0.127102	0.2687388
114	-43.1671	-87.4666	44.29951	0.6127517	0.968798	0.0312017	0.710207
120	-49.54025	-93.52419	43.98394	0.8755223	0.723385	0.276615	0.2917136
126	-43.15807	-86.82831	43.67024	1.080684	0.967924	0.0320759	0.2324633
132	-45.36735	-89.92938	44.56203	0.1492819	0.971407	0.0285926	0.9628524
138	-45.84057	-89.85623	44.01566	0.6956519	0.835508	0.164492	0.9628524
144	-51.8794	-96.35048	44.47108	0.507547	0.936391	0.0636092	0.4616732
150	-52.55256	-97.28532	44.73276	0.2304779	0.987308	0.0126924	0.6024031
156	-49.57015	-94.45303	44.88289	0.0803489	0.98684	0.0131598	0.6024031
162	-49.94579	-94.00408	44.0583	0.5515517	0.946809	0.0531911	1.063111
168	-48.75365	-93.62979	44.87615	0.04764248	0.946386	0.053614	0.6900302
174	-54.14895	-98.43871	44.28976	0.5200701	0.745276	0.254724	0.8530568
180	-49.8215	-94.11408	44.29258	0.6253528	0.981991	0.0180092	0.7004551
186	-49.32293	-93.81945	44.49652	0.3250226	0.948476	0.0515244	0.8387253
192	-53.27513	-97.67575	44.40062	0.5158432	0.839498	0.160502	0.7030109
198	-62.57472	-106.9333	44.35853	0.518508	0.979641	0.0203594	0.7649246
204	-62.98764	-107.3452	44.3576	0.6161815	0.979641	0.0203594	0.4396075
210	-65.12732	-109.7544	44.6271	0.04952363	0.925044	0.0749558	0.9982478
216	-52.65823	-97.28215	44.62392	0.01794102	0.937214	0.0627858	1.032493
222	-52.55266	-97.43026	44.8776	0.06905938	0.97769	0.0223103	0.6443349
228	-52.76247	-96.90241	44.13994	0.8300914	0.998684	0.00131615	0.4273966
234	-49.56125	-94.04909	44.48784	0.462475	0.993289	0.00671051	0.6359957
240	-54.5385	-99.45012	44.91162	0.01519184	0.822669	0.177331	0.6844802
246	-53.01309	-97.77185	44.75876	0.2106984	0.75549	0.24451	0.5824619
252	-47.94918	-92.59859	44.64941	0.3141947	0.968777	0.0312231	0.6013178
258	-58.50251	-102.6064	44.10386	0.02669963	0.948797	0.0512027	1.462089
264	-50.83849	-95.32996	44.49146	0.05007659	0.85405	0.14595	1.126001
270	-48.63935	-92.86306	44.22371	0.6725758	0.856564	0.143436	0.7360961
276	-51.50437	-95.56748	44.06311	0.8737591	0.950885	0.0491151	0.6650686
282	-54.18135	-98.42888	44.24753	0.7295648	0.861327	0.138673	0.5496452
288	-57.29658	-101.5482	44.25159	0.1881828	0.75543	0.24457	1.214867
294	-56.18852	-100.3948	44.20624	0.4442373	0.993005	0.00699524	1.024108
300	-58.59453	-103.4701	44.87559	0.1054035	0.984277	0.0157227	0.4811721
306	-59.4407	-103.8484	44.40774	0.09803638	0.933696	0.0663036	1.157817
312	-55.88876	-100.3676	44.47885	0.3471467	0.850211	0.149789	0.8331842
318	-54.95626	-98.95709	44.00084	0.4491232	0.863927	0.136073	1.206187
324	-53.2102	-97.65632	44.44612	0.5297655	0.977151	0.0228493	0.4478969
330	-50.93091	-95.32207	44.39116	0.3023522	0.995877	0.00412339	0.9811761
336	-56.28672	-100.344	44.05728	0.3023522	0.996674	0.00332602	1.281724
342	-62.49542	-106.7247	44.22925	0.7500231	0.988433	0.0115671	0.4658388
348	-61.79227	-105.9211	44.12885	0.833915	0.987909	0.0120913	0.6037739
354	-56.63013	-100.6448	44.01465	0.9663786	0.938511	0.0614892	0.5188301
360	-50.88245	-95.36284	44.48038	0.1765578	0.901743	0.0982573	1.017772
366	-45.9978	-90.85837	44.86057	0.01256054	0.807214	0.192786	0.7705297
372	-46.71114	-90.92509	44.21395	0.7421116	0.807214	0.192786	0.6219821
378	-46.77466	-91.65187	44.87721	0.02847256	0.866209	0.133791	0.7211182
384	-47.03816	-91.75107	44.7129	0.1469335	0.982297	0.017703	0.7890631
390	-46.69603	-91.21772	44.52169	0.4592193	0.937567	0.0624326	0.4801107
396	-51.53597	-96.09615	44.56018	0.4023749	0.930941	0.0690589	0.6043902
402	-52.06279	-96.76653	44.70374	0.09714841	0.99899	0.00101048	0.8637633
408	-50.17769	-94.37142	44.19373	0.6071554	0.999291	0.000708566	0.8637633
414	-49.86526	-94.58958	44.72432	0.2543466	0.964679	0.035321	0.4619029
420	-52.15205	-96.90943	44.75739	0.1190559	0.540099	0.459901	0.7657906
426	-49.63648	-93.7035	44.06702	0.9135254	0.834669	0.165331	0.4761209
