Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-53.5248	-98.1869	44.66211	0.0154656	0.00814425	0.00796194	0.0766132	0.0227302	0.00202043	0.000797498	0.00174959	0.0153671	0.0135444	0.0331246	0.00305757	0.00149912	0.0177687	0.020144	0.00528259	0.00132491	0.0061599	0.00228057	0.00281935	0.00184166	0.00986365	0.0064708	0.0163427	0.00845551	0.00256403	0.0105845	0.0376853	0.0103357	0.0129779	0.010011	0.0627175	0.00892576	0.0429078	0.00486076	0.642768	0.806098	0.934964	1.06956	1.24054	1.55577	0.3195753	0.0306614	0.0161464	0.015785	0.15189	0.0450638	0.0040056	0.00158108	0.00346865	0.030466	0.0268526	0.0656713	0.00606179	0.00297208	0.0352275	0.0399365	0.010473	0.0026267	0.0122123	0.00452135	0.0055895	0.0036512	0.0195552	0.0128287	0.0324003	0.0167635	0.00508333	0.0209843	0.0747131	0.0204911	0.0257294	0.0198474	0.124341	0.0176958	0.085067	0.00963671	0.442872	0.557128	0.4428721	0.5044003
36	-46.38218	-90.78693	44.40474	0.00645921	0.00564637	0.00423395	0.0544937	0.0159085	0.00259201	0.00131102	0.00284781	0.00782721	0.0124618	0.00581488	0.00415425	0.0265669	0.0219969	0.000653212	0.00800632	0.00314451	0.00370832	0.00211876	0.0558988	0.00647603	0.0258736	0.0088605	0.012032	0.00885764	0.0240993	0.0135432	0.0237081	0.00776042	0.0200958	0.0224968	0.0410965	0.0298854	0.00373886	0.0124601	0.450304	0.677663	0.885685	1.12907	1.47566	2.22072	0.5768872	0.0127444	0.0111406	0.0083538	0.107519	0.0313883	0.00511418	0.00258672	0.00561889	0.0154435	0.0245878	0.0114731	0.00819656	0.0524179	0.043401	0.00128882	0.0157969	0.00620429	0.00731671	0.00418043	0.110291	0.0127776	0.05105	0.0174822	0.0237398	0.0174766	0.0475492	0.0267214	0.0467773	0.0153117	0.0396502	0.0443873	0.0810856	0.0589655	0.00737698	0.0245844	0.878253	0.121747	0.8782534	0.5068286
72	-44.57837	-88.88068	44.30231	0.0025375	0.0232059	0.00160509	0.0354631	0.0328051	0.00268509	0.00831685	0.00454683	0.0174371	0.0225182	0.00864636	0.0078895	0.0163651	0.0359615	0.00164367	0.00518773	0.0115977	0.0083608	0.0021959	0.049409	0.0253963	0.00168374	0.00507055	0.0110912	0.00788763	0.0437509	0.00269234	0.0249072	0.0148558	0.00590845	0.00598378	0.00545131	0.0194973	0.00361509	0.00955008	0.390999	0.632562	0.866858	1.15359	1.58087	2.55755	0.6789988	0.00522421	0.0477762	0.00330456	0.0730115	0.0675391	0.00552806	0.0171228	0.00936102	0.0358995	0.0463605	0.0178011	0.0162429	0.0336926	0.0740375	0.00338398	0.0106805	0.0238774	0.0172132	0.00452092	0.101723	0.0522859	0.00346649	0.0104393	0.0228346	0.0162391	0.0900744	0.00554299	0.0512789	0.0305852	0.0121643	0.0123194	0.0112232	0.040141	0.00744275	0.0196617	0.831236	0.168764	0.8312362	0.4857195
108	-51.78057	-95.63246	43.85189	0.014098	0.0200174	0.000997166	0.0167849	0.0167785	0.00734356	0.00336102	0.00134658	0.0104153	0.021658	0.00048244	0.00544546	0.0304132	0.0292668	0.0174969	0.00168918	0.00110673	0.0009428	0.0023762	0.0188548	0.00241927	0.0286364	0.00712218	0.0405388	0.00827498	0.069904	0.0241838	0.0221628	0.01928	2.42312e-06	0.0178637	0.0012936	0.0101074	0.0278088	0.00182609	0.209604	0.466708	0.788403	1.26839	2.14267	4.7709	1.12982	0.0280669	0.0398516	0.0019852	0.0334162	0.0334034	0.0146199	0.00669127	0.00268082	0.0207353	0.0431177	0.000960464	0.0108411	0.0605479	0.0582657	0.0348337	0.00336289	0.00220332	0.00187697	0.00473065	0.037537	0.0048164	0.0570106	0.0141792	0.0807065	0.0164742	0.139168	0.0481462	0.0441227	0.0383835	4.82406e-06	0.0355638	0.00257536	0.0201223	0.055363	0.00363547	0.955313	0.0446873	0.9553127	0.5022993
144	-50.04459	-94.46781	44.42322	0.00270109	0.0146797	0.00983183	0.00137386	0.0200496	0.00533874	0.00361991	0.00139017	0.0123268	0.00926933	0.00159799	0.00719752	0.00132074	0.0305297	0.00567854	0.00407953	0.00234886	0.00170608	0.00303999	0.00657025	0.00743787	0.0215436	0.0174384	0.0168197	0.00867693	0.0263456	0.00238127	0.00582355	0.0019134	3.70418e-05	0.00756725	0.0105233	0.0141871	0.00218716	0.00352491	0.547708	0.745572	0.912471	1.09593	1.34125	1.82579	0.4352973	0.00928028	0.0504359	0.0337797	0.00472023	0.0688852	0.0183426	0.0124371	0.00477627	0.0423519	0.0318471	0.00549027	0.0247289	0.00453772	0.104892	0.01951	0.0140162	0.00807009	0.00586167	0.0104446	0.0225737	0.0255547	0.0740184	0.059914	0.0577882	0.0298117	0.0905169	0.00818144	0.0200082	0.00657397	0.000127266	0.0259992	0.0361555	0.0487433	0.00751453	0.0121107	0.811399	0.188601	0.8113993	0.2910574
180	-51.52572	-96.11473	44.58901	0.0229035	0.0393134	0.0717573	0.00115101	0.0226626	0.00146582	0.0127563	0.00790108	0.00702616	0.0436546	0.00977514	0.0346363	0.00622326	0.0515579	0.00868209	0.0513013	0.0181082	0.01237	0.0296079	0.0106482	0.00463817	0.0397725	0.0730056	0.0568751	0.021924	0.0364873	0.00571646	0.0266923	0.0282721	0.0031983	0.0198148	0.0516115	0.0173602	0.012677	0.0444542	0.784881	0.888578	0.963816	1.03754	1.12539	1.27408	0.1751436	0.0252798	0.0433922	0.0792022	0.00127043	0.0250138	0.0016179	0.0140797	0.00872083	0.00775513	0.0481838	0.0107893	0.0382298	0.00686893	0.0569071	0.00958287	0.0566238	0.019987	0.0136534	0.0326798	0.0117529	0.00511939	0.0438989	0.08058	0.0627759	0.0241987	0.0402728	0.00630955	0.0294616	0.0312054	0.00353013	0.0218706	0.0569663	0.0191613	0.0139922	0.0490664	0.946556	0.0534439	0.9465561	0.9060015
216	-48.84724	-92.79689	43.94965	0.000355124	0.0093398	0.0220396	0.0222949	0.0145378	0.00104767	0.000693238	0.000110812	0.00551742	0.00824955	0.00428374	0.00992216	0.00154212	0.0404635	0.000107383	0.00864262	0.00459854	0.000637297	0.00988969	0.0108684	0.00371233	0.0126919	0.0255322	0.00897811	0.00819593	1.36574e-05	0.00578473	6.84855e-05	0.0193586	0.0140068	0.0134978	0.00724948	0.00324661	0.0208759	0.0340191	0.258788	0.517239	0.814099	1.22835	1.93334	3.86416	0.9774049	0.00100781	0.0265055	0.0625462	0.0632708	0.041257	0.00297317	0.00196734	0.000314473	0.0156579	0.0234114	0.0121568	0.0281581	0.00437638	0.114831	0.000304744	0.0245269	0.0130502	0.00180859	0.028066	0.0308434	0.0105352	0.0360183	0.0724578	0.025479	0.0232593	3.87585e-05	0.0164165	0.000194355	0.0549379	0.0397498	0.0383054	0.0205733	0.00921357	0.0592437	0.0965428	0.805239	0.194761	0.8052395	0.3523727
252	-50.42442	-95.16368	44.73926	0.0124553	0.00326066	0.0718089	0.0203706	0.0618927	0.0410845	0.00246761	0.0199683	0.00198829	0.0309819	0.00851602	0.0482105	0.00677103	0.0579389	0.00283823	0.00534643	0.00382661	0.000774424	0.0109644	0.0622886	0.00455583	0.0395594	0.0158218	0.0372236	0.00780556	5.20167e-06	0.0112605	0.0102104	0.0377277	0.0687739	0.0162874	0.0173108	0.00941296	0.0481327	0.0234325	0.875475	0.9372	0.979969	1.02044	1.06701	1.14224	0.09615957	0.0151659	0.00397025	0.0874359	0.0248036	0.0753618	0.0500253	0.00300461	0.0243138	0.00242098	0.0377242	0.0103693	0.0587021	0.00824455	0.0705476	0.00345589	0.00650992	0.00465936	0.000942954	0.0133505	0.0758438	0.00554727	0.0481683	0.019265	0.0453243	0.0095042	6.33366e-06	0.013711	0.0124324	0.045938	0.0837405	0.0198319	0.021078	0.0114614	0.0586073	0.0285319	0.796207	0.203793	0.796207	0.8212743
288	-43.97795	-88.37644	44.39848	0.0136751	0.0236663	0.0160113	0.00134651	0.0122086	0.00231219	0.00207357	0.00699438	0.0335719	0.022037	0.00149449	0.0165843	0.0308154	0.0281397	0.0240493	0.00775192	0.0390278	0.00599624	0.0016829	0.0173307	0.011284	0.0136454	0.00502159	0.0119479	0.000612664	1.70175e-06	0.0183845	0.00200025	0.05306	0.0647743	0.0206116	0.0159819	0.00832386	0.01797	0.0300189	0.453643	0.68011	0.886682	1.1278	1.47035	2.20437	0.5715453	0.0235613	0.0407752	0.0275862	0.00231993	0.0210346	0.00398373	0.00357261	0.0120508	0.0578419	0.0379682	0.0025749	0.0285735	0.0530926	0.0484827	0.0414351	0.013356	0.0672419	0.0103311	0.00289952	0.0298595	0.0194416	0.0235101	0.00865182	0.0205853	0.00105558	2.93199e-06	0.031675	0.00344628	0.0914185	0.111601	0.0355122	0.0275356	0.0143414	0.0309609	0.0517203	0.98666	0.0133401	0.9866599	0.5804081
324	-45.14117	-89.98881	44.84764	0.010469	0.00631513	0.00943787	0.00206061	0.0433231	0.0141502	0.0103777	0.000149247	0.0721317	0.0194233	0.00443229	0.0394775	0.0149251	0.0646554	0.00610877	0.00641827	0.0913378	0.00161991	0.00442695	0.00127284	0.00312876	0.038461	0.0426691	0.0450504	0.00442277	0.00181285	0.0278771	0.0432455	0.0276169	0.0181542	0.000959661	0.0043947	0.0301023	0.00569031	0.0296822	0.943113	0.97184	0.991128	1.00895	1.02898	1.06032	0.04234932	0.0140377	0.00846781	0.012655	0.00276302	0.058091	0.0189737	0.0139152	0.000200122	0.0967197	0.0260442	0.00594316	0.0529345	0.0200127	0.086695	0.00819111	0.00860612	0.122473	0.0021721	0.00593599	0.00170672	0.00419529	0.0515714	0.0572141	0.0604071	0.00593039	0.00243081	0.0373797	0.0579869	0.0370309	0.0243426	0.00128679	0.00589275	0.0403635	0.00763001	0.0398002	0.994021	0.00597899	0.994021	0.7457804
